Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
Repositor(A) - Mogi Guaçu/SP,TENDA ATACADO,"4,2",3.790 avaliações,Mogi Guaçu - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-repositora-mogi-guacusp-em-sao-paulo__9325801.aspx
OPERADOR DE LOJA - VILA FORMOSA JUNDIAI,Dia Brasil Sociedade Limitada,"4,0",12.277 avaliações,Jundiaí - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-loja-vila-formosa-jundiai-em-sao-paulo__9326505.aspx
Gerente De Nutrição,CIASI BASTON SAEZ SERVICOS DE RH LTDA,Sem nota,Sem avaliações,Sumaré - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-gerente-nutricao-em-sao-paulo__9326549.aspx
Vendedor Sem Experiência.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-experiencia-em-sao-paulo__9326409.aspx
Vendedor,"São Caetano do Sul - SP, a 18,7 km de você.",Sem nota,Sem avaliações,São Caetano do Sul - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
Mecânico De Refrigeração,GRUPO PANNA,295 avaliações,,Alumínio - SP,Presencial,"R$ 2.645,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-mecanico-refrigeracao-em-sao-paulo__9331774.aspx
Auxiliar De Vendas (Barra Shopping) - Barra Da Tijuca/RJ,LUANDRE SERVICOS TEMPORARIOS LTDA. (C-I),4.474 avaliações,"4,4",Rio de Janeiro - RJ,Presencial,"R$ 1.000,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-vendas-barra-shopping-barra-da-tijucarj-em-rio-janeiro__9331264.aspx
Analista De RH - Mirassol SP,MENDES TALENT TERCEIRIZACAO E RECURSOS HUMANOS EIRELI,Sem nota,Sem avaliações,Mirassol - SP,Presencial,"R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-rh-mirassol-sp-em-sao-paulo__9325448.aspx
Ajudante De Cozinha,QUINTAL DO ZE,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-ajudante-cozinha-em-sao-paulo__9326484.aspx
Ajudante Geral,Prompt Empregos,"3,9",391 avaliações,Guarulhos - SP,Presencial,"R$ 1.600,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-geral-em-sao-paulo__9323875.aspx
Operador(A) De Rastreamento E Monitoramento Veicular Em São Paulo,MANPOWER STAFFING. (Matriz),"4,4",3.890 avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operadora-rastreamento-monitoramento-veicular-sao-paulo-em-sao-paulo__9326152.aspx
Supervisor De Suporte,EB CORPORATE,"4,3","4,3",São Paulo - SP,PCD Híbrido,"R$ 3.000,00 a R$ 3.109,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-supervisor-suporte-em-sao-paulo__9331815.aspx
Operador De Torno Cabeçote - Zona Leste,EXTRA CONSULT,"3,9",72 avaliações,São Paulo - SP,Presencial,"R$ 2.395,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-torno-cabecote-zona-leste-em-sao-paulo__9324771.aspx
Promotor De Merchandising - Com Moto - São Paulo / Grande São Paulo,POLLY CONSULTORIA EM SERVICOS TERCEIRIZADOS,59 avaliações,"4,2",São Paulo - SP,Presencial,"R$ 1.481,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-merchandising-moto-sao-paulo-grande-sao-paulo-em-sao-paulo__9331769.aspx
AJUDANTE DE ESTAMPARIA/PRENSAS,POTENCY Rh,"4,2",39 avaliações,São Paulo - SP,Presencial,"R$ 2.508,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-estampariaprensas-em-sao-paulo__9325049.aspx
Atendimento Interno- INICIO IMEDIATO.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.600,00 a R$ 2.300,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendimento-interno-inicio-imediato-em-sao-paulo__9326398.aspx
Supervisor De Vendas | Telecom | Varejo | Barueri - SP,ALMAVIVA DO BRASIL,"3,8",27.338 avaliações,Barueri - SP,Presencial,"R$ 2.200,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-supervisor-vendas-telecom-varejo-barueri-sp-em-sao-paulo__9325299.aspx
AUXILIAR DE LIMPEZA - AV. PAULISTA,GB Serviços,"4,8",8 avaliações,São Paulo - SP,Presencial,"R$ 1.400,00 a R$ 1.482,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-limpeza-av-paulista-em-sao-paulo__9326287.aspx
Jovem Aprendiz,TMKT,"3,9",8.549 avaliações,Poá - SP,Presencial,"R$ 1.080,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-jovem-aprendiz-em-sao-paulo__9325171.aspx
Caseiro,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-caseiro-em-sao-paulo__9325096.aspx
Assistente De Recursos Humanos,Dm action,"4,6",34 avaliações,São Paulo - SP,Presencial,"R$ 1.537,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-recursos-humanos-em-sao-paulo__9325349.aspx
AUXILIAR DE SERVIÇOS GERAIS,ALLPORT SERVICOS TERCEIRIZADOS,"4,2",207 avaliações,São Paulo - SP,Presencial,"R$ 1.721,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-em-sao-paulo__9325772.aspx
Atendente De Loja - Shopping,Cacau Show - Park City,Sem nota,Sem avaliações,Sumaré - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-atendente-loja-shopping-em-sao-paulo__9325010.aspx
OPERADOR DE LOJA CONVENIENCIA EXPRESS ZONA LESTE - XBT/XCL,CARREFOUR,"4,3",41.516 avaliações,São Paulo - SP,Presencial,"R$ 1.700,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-operador-loja-conveniencia-express-zona-leste-xbtxcl-em-sao-paulo__9326301.aspx
VENDEDOR - REGIÃO CENTRAL,Direcional Engenharia SA,"4,4",2.436 avaliações,São Paulo - SP,Presencial,"R$ 4.000,00 a R$ 10.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-regiao-central-em-sao-paulo__9326446.aspx
Atendente Barista - Higienópolis /SP,STARBUCKS,"4,4",2.384 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-atendente-barista-higienopolis-sp-em-sao-paulo__9325628.aspx
Estoquista,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.892,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estoquista-em-sao-paulo__9324785.aspx
Empacotador - CENTRO/SP,ESPACO DIGITAL DISTRIBUIDOR DE ELETRO ELETRONICOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.540,00 a R$ 2.143,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-empacotador-centrosp-em-sao-paulo__9326294.aspx
Coordenador De Projetos Sociais,LUANDRE SERVICOS TEMPORARIOS LTDA. (C-I),"4,4",4.475 avaliações,São Paulo - SP,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-coordenador-projetos-sociais-em-sao-paulo__9325657.aspx
